nconst,had_prior_experience,movie_count,roles,firstYear,movies_directed_after_first
nm1131265,0,0.0,,2004.0,2
nm1130611,0,0.0,,2004.0,0
nm0290651,0,0.0,,2003.0,0
nm0404033,0,0.0,,2003.0,3
nm0000417,1,14.0,"['archive_footage', 'actor']",2005.0,1
nm0818538,0,0.0,,2007.0,0
nm0425843,0,0.0,,2005.0,1
nm3084782,0,0.0,,2009.0,5
nm0806102,0,0.0,,2004.0,0
nm6032566,0,0.0,,2003.0,0
nm0005703,1,13.0,['cinematographer'],2006.0,1
nm0225068,0,0.0,,2003.0,1
nm0518037,0,0.0,,2012.0,0
nm2836167,0,0.0,,2009.0,5
nm0320414,0,0.0,,2005.0,1
nm2201690,0,0.0,,2006.0,6
nm1030585,0,0.0,,2006.0,3
nm0111958,1,1.0,['actor'],2004.0,0
nm0520721,1,12.0,['editor'],2005.0,0
nm0912719,0,0.0,,2003.0,0
nm0212918,0,0.0,,2004.0,1
nm0611850,0,0.0,,2013.0,3
nm7252079,0,0.0,,2006.0,0
nm0369189,1,2.0,"['producer', 'writer']",2005.0,0
nm0364780,0,0.0,,2003.0,0
nm0442287,0,0.0,,2005.0,8
nm1469870,0,0.0,,2003.0,0
nm0105856,0,0.0,,2005.0,0
nm1369708,0,0.0,,2003.0,0
nm0311102,0,0.0,,2006.0,0
nm0735373,0,0.0,,2004.0,0
nm0774548,0,0.0,,2004.0,0
nm0783843,1,4.0,['cinematographer'],2005.0,0
nm0027474,0,0.0,,2004.0,0
nm2113177,0,0.0,,2007.0,0
nm0957632,0,0.0,,2003.0,0
nm0667001,1,2.0,['actor'],2006.0,7
nm0108768,1,1.0,['editor'],2003.0,1
nm0270830,1,1.0,['actor'],2003.0,1
nm0874795,0,0.0,,2005.0,0
nm0040808,0,0.0,,2005.0,0
nm2549671,0,0.0,,2005.0,0
nm0598173,0,0.0,,2004.0,3
nm0736286,0,0.0,,2006.0,1
nm0445730,0,0.0,,2003.0,0
nm0359918,0,0.0,,2004.0,2
nm1123558,1,3.0,['cinematographer'],2007.0,5
nm0338422,1,1.0,['actor'],2003.0,0
nm0003469,0,0.0,,2003.0,1
nm0699315,0,0.0,,2004.0,3
nm0245315,0,0.0,,2007.0,0
nm0002844,0,0.0,,2006.0,0
nm0109112,1,4.0,['actress'],2003.0,0
nm0769018,0,0.0,,2004.0,1
nm0175325,0,0.0,,2004.0,0
nm0830387,0,0.0,,2004.0,5
nm0175726,1,1.0,['writer'],2004.0,1
